KEY,NOTES_FOR_LOCALISATION,LINE_EN - FORMULA FIELDS DONT CHANGE HERE,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$notification_a32_title,,Kiss From A Rose,XX,Fleur bleue,Il bacio di una rosa,Kuss einer Rose,El beso de una rosa,Beijos de uma Rosa,バラのキス,,,玫瑰之吻,XX
$notification_a33_title,,Flower Power,XX,C'est le bouquet,Potenza floreale,Flower Power,A florecer,Poder Floral,花の力,,,花之力,
$notification_a34_title,,Green Thumb,XX,La main verte,Pollice verde,Grüner Daumen,Verde que te quiero verde,Dedo Verde,園芸の才能,,,园艺能手,XX
$notification_a35_title,,Who Needs Boats?,XX,Qui a besoin de bateaux?,Chi ha bisogno di barche?,Wer braucht schon Boote?,¿Quién necesita un barco?,Quem Precisa de Barcos?,ボートがいる？,,,谁还需要船?,XX
$notification_a36_title,,UNKNOWN_BEE_EXCEPTION,XX,EXCEPTION_ABEILLE_INCONNUE,ERRORE_APE_SCONOSCIUTA,UNERWARTETER_BIENEN_AUSNAHMEFEHLER,ERROR_ABEJA_NO_ENCONTRADA,UNKNOWN_BEE_EXCEPTION,UNKNOWN_BEE_EXCEPTION,,,UNKNOWN_BEE_EXCEPTION,XX
$notification_a37_title,,Lost In The Dream,XX,Eldorado,Perdersi in un sogno,Im Traum verloren,Piérdete en sueños,Guiado pelo Sonho,夢で迷子,,,迷失梦中,XX
$notification_a38_title,,Truly Divine,XX,Divine,Davvero divino,Wahrhaft göttlich,La pura divinidad,Realmente Divino,本物の神,,,真神,XX
$notification_a01_desc,,Chop down a lot of trees and annoy a lot of forest spirits,XX,Abattre beaucoup d'arbres et importuner beaucoup d'esprits de la forêt,Taglia tantissimi alberi e infastidisci tantissimi spiriti della foresta.,Fälle eine Menge Bäume und ärgere eine Menge Waldgeister,Tala un montón de árboles y molesta a muchos espíritus del bosque.,Derrube muitas árvores e irrite espíritos da floresta,たくさん木を伐採して森の精霊をイラつかせよう,,,"砍倒大量树木, 惹恼许多森林精灵",XX
$notification_a02_desc,,Forget to put away your hammer and cause an... accident,XX,Oublier de ranger ton marteau et causer un... accident,Dimentica di metter via il martello e causa... un incidente.,"Vergiss, den Hammer wegzulegen und versuche einen ... Unfall",Olvídate de guardar el martillo y causa un... accidente.,Esqueça de guardar seu martelo e cause um... acidente,ハンマーをしまうのを忘れて...事故を起こしてみるか,,,忘记把你的锤子收起来并造成一起...事故,XX
$notification_a03_desc,,Use a hammer on something you didn't expect could be hammered,XX,Utiliser un marteau sur quelque chose d'inattendu,Usa il martello su qualcosa di inatteso.,"Verwende den Hammer mit etwas, von dem du nicht erwartet hättest, dass es gehämmert werden kann",Usa un martillo en algo que no esperarías que se pudiera martillar.,Martele algo que você não sabia que podia ser martelado,ハンマーが向いてなさそうなものに使ってみよう,,,在你没料到能使用锤子的东西上使用锤子,XX
$notification_a04_desc,,Who needs tools to chop down trees when you have fists?,XX,Qui a besoin d'outils pour abattre des arbres quand on a des poings ?,Chi ha bisogno di attrezzi per tagliare gli alberi quando hai i tuoi pugni?,"Wer braucht schon Werkzeuge fürs Holzfällen, wenn man Fäuste hat?",¿Quién necesita herramientas para talar cuando tienes tus puños?,Quem precisa de ferramentas para derrubar árvores quando se tem punhos?,拳があるのに木を切る道具が必要なんて奴いる？,,,"有了拳头, 谁还需要工具来砍树?",XX
$notification_a05_desc,,"Stay up for days on end, powered purely by your love of beekeeping",XX,Rester debout des jours et des nuits par pure passion de l'apiculture,"Rimani senza dormire per giorni, alimentandoti solamente con il tuo amore per le api.","Bleib tagelang wach, nur durch die Liebe zur Imkerei angetrieben","Mantente sin dormir durante días, sin más alimento que tu amor por la apicultura.","Fique acordado por vários dias seguidos, vivendo puramente pelo amor à apicultura",養蜂への愛があるから何日だって起きていられる,,,"连续几天不睡觉, 纯靠你对养蜂的热爱支撑",XX
$notification_a06_desc,,Save up an eye-watering amount of Rubees,XX,Économiser un montant astronomique de nectines,Risparmia un incredibile quantità di lapislazzuli.,Spare eine unglaubliche Menge an Rubienen,Ahorra una cantidad estrafalaria de abejólares.,Junte uma quantidade exorbitante de Rubelhas,目が潤むほどのビーコインを稼ごう,,,存下一大笔让人眼馋的蜂币,XX
$notification_a07_desc,"Whatever Name you give the bee needs to match the name used in the Quests sheet, $book1_20_page2_2 (row141) and $book1_1_page2_3 (row10) as well as the two items in this sheet, $notification_a07_title (row 8 in this sheet) and $notification_a07_desc (row 46 in this sheet) as it's all connected",Make an entire army of bees with Beeatrice,XX,Créer une armée entière d'abeilles avec Beillatrice,Crea un esercito di api con Melissa.,Stelle eine vollständige Armee aus Bienatricen zusammen,Crea un ejército de abejas con Abelina.,Faça um exército inteiro de Melissas,ハッチで編成を組もう,,,和蜜阿特丽斯一起打造一整支蜜蜂军队,XX
$notification_a08_desc,,Discover the mysterious Dream Bee ,XX,Découvrir la mystérieuse abeille rêveuse,Scopri la misteriosa ape onirica.,Entdecke den geheimnisvollen Bienentraum,Descubre a la misteriosa abeja onírica.,Descubra a misteriosa Abelha Sonhadora,謎めいた夢ミツバチを発見しよう,,,发现神秘的梦境蜜蜂,XX
$notification_a09_desc,,Uncover the forgotten Jurassic Bee,XX,Découvrir la mythique abeille jurassique,Scopri la dimenticata ape giurassica.,Entdecke die vergessene Jura-Biene,Descubre a la abeja olvidada: la jurásica.,Revele a extinta Abelha Jurássica,忘れ去られた考古ミツバチを発見しよう,,,发现被遗忘的侏罗纪蜜蜂,XX
$notification_a10_desc,,Create and bottle your very own home-made Apicola,XX,Produire et embouteiller ton propre apicola maison,Crea e imbottiglia la tua Apicola fatta in casa.,Stelle selbstgemachte Apicola her und fülle sie ab,Crea y embotella tu propia Apicola casera.,Cria e engarrafe sua primeira garrafa de Apicola caseira,お得意の自家製ハチミツジルをボトルに詰めよう,,,创造并瓶装属于你自己的自制蜂露,XX
$notification_a11_desc,,Find a blessed species variant,XX,Trouver une variante d'espèce bénie,Trova una variante di specie benedette.,Finde eine gesegnete Artenvariante,Encuentra una variante de especie bendita.,Encontre uma variante abençoada de espécie,祝福された幸運のハチを見つける,,,找到一个受祝福的变种,XX
$notification_a12_desc,,Find 10 blessed species variants,XX,Trouver 10 variantes d'espèce bénie,Trova 10 varianti di specie benedette.,Finde 10 gesegnete Artenvarianten,Encuentra diez variantes de especies benditas.,Encontre 10 variantes abençoadas de espécies,祝福された幸運のハチを10種見つける,,,找到10个受祝福的变种,XX
$notification_a13_desc,,Find all blessed species variants,XX,Trouver toutes les variantes d'espèce bénie,Trova tutte le varianti di specie benedette.,Finde alle gesegneten Artenvarianten,Encuentra todas las variantes de especies benditas.,Encontre todas as variantes abençoadas de espécies,祝福された幸運のハチを全種見つける,,,找到所有受祝福的变种,XX
$notification_a14_desc,,Complete the introduction quests in Grandpa's Guide,XX,Terminer les quêtes d'introduction du Guide de papy,Completa le missioni introduttive della guida del nonno.,Schließe die Einführungsaufgabe in Großvaters Handbuch ab,Completa las misiones de introducción de la guía del abuelo.,Conclua as missões introdutórias do Guia do Vovô,おじいちゃんのガイドで序章のクエストをクリアしよう,,,完成'爷爷的指南'中的入门任务,XX
$notification_a15_desc,,Complete 15 different chapters in Grandpa's Guide,XX,Terminer 15 chapitres du Guide de papy,Completa 15 capitoli della guida del nonno.,Schließe 15 unterschiedliche Kapitel in Großvaters Handbuch ab,Completa quince capítulos diferentes de la guía del abuelo.,Conclua 15 capítulos diferentes no Guia do Vovô,おじいちゃんのガイドで15章までクリアしよう,,,完成'爷爷的指南'中15个不同的章节,XX
$notification_a16_desc,,Complete all chapters of Grandpa's Guide,XX,Terminer tous les chapitres du Guide de papy,Completa tutti i capitoli della guida del nonno.,Schließe alle Kapitel von Großvaters Handbuch ab,Completa todos los capítulos de la guía del abuelo.,Conclua todos os capítulos no Guia do Vovô,おじいちゃんのガイドを全部クリアしよう,,,完成'爷爷的指南'中所有的章节,XX
$notification_a17_desc,,Discover your first new social bee species,XX,Découvrir ta première nouvelle espèce d'abeille sociale,Scopri la tua prima specie nuova di api.,Entdecke deine erste neue Bienenart,Descubre tu primera especie nueva de abeja.,Descubra sua primeira espécie nova de abelha,新種のハチを見つけよう,,,发现你的第一个新蜜蜂物种,XX
$notification_a18_desc,,Discover 15 different species of social bees,XX,Découvrir 15 espèces d'abeilles sociales différentes,Scopri 15 specie diverse di api.,Entdecke 15 unterschiedliche Bienenarten,Descubre quince especies diferentes de abejas.,Descubra 10 espécies diferentes de abelhas,15種類のハチを見つけよう,,,发现15个不同的蜜蜂物种,XX
$notification_a19_desc,,Discover all different species of social bees,XX,Découvrir toutes les espèces d'abeilles sociales,Scopri tutte le specie di api.,Entdecke alle unterschiedlichen Bienenarten,Descubre todas las especies de abejas.,Descubra todas as espécies de abelhas,ハチを全種見つけよう,,,发现所有不同的蜜蜂物种,XX
$notification_a20_desc,,Fully conservate a social bee species by getting it's status to Thriving,XX,Atteindre le statut de préservation Prospère pour une espèce d'abeille sociale,Preserva completamente una specie di api facendole raggiungere lo status Fiorente.,"Erreiche eine vollständige Erhaltung einer Bienenart, indem du ihren Status auf 'blühend' anhebst.",Conserva una especie por completo: llévala al estado de Prosperidad.,Restaure o estado de conservação de uma espécie de abelha,1種の保護状態を「はん栄」にしてみよう,,,"完全保护一个蜜蜂物种, 将其状态变为繁荣",XX
$notification_a21_desc,,Fully conservate 15 social bee species by getting their status to Thriving,XX,Atteindre le statut de préservation Prospère pour 15 espèces d'abeilles sociales,Preserva completamente 15 specie di api facendo raggiungere loro lo status Fiorente.,"Erreiche eine vollständige Erhaltung von 15 Bienenarten, indem du ihren Status auf 'blühend' anhebst.",Conserva quince especies por completo: llévalas al estado de Prosperidad.,Restaure o estado de conservação de 10 espécies de abelhas,15種の保護状態を「はん栄」にしてみよう,,,"完全保护15个蜜蜂物种, 将其状态变为繁荣",XX
$notification_a22_desc,,Fully conservate all social bee species by getting all their statuses to Thriving,XX,Atteindre le statut de préservation Prospère pour toutes les espèces d'abeilles sociales,Preserva completamente tutte le specie di api facendo raggiungere loro lo status Fiorente.,"Erreiche eine vollständige Erhaltung von allen Bienenarten, indem du ihren Status auf 'blühend' anhebst.",Conserva todas las especies por completo: llévalas al estado de Prosperidad.,Restaure o estado de conservação de todas as espécies de abelhas,全種の保護状態を「はん栄」にしよう,,,"完全保护所有蜜蜂物种, 将其状态变为繁荣",XX
$notification_a23_desc,,Complete 5 quests for Skipper at the Town Noticeboard,XX,Terminer 5 quêtes pour le Capitaine au panneau d'affichage,Completa 5 missioni per Skipper sulla bacheca cittadina.,Schließe 5 Aufgaben für den Käpt'n am schwarzen Brett der Stadt ab,Completa cinco misiones para don Costa en el tablero de anuncios del pueblo.,Conclua 5 missões para o Capitão no Quadro de Avisos da Cidade,街の掲示板にある船長のクエストを5つクリアしよう,,,在镇公告板为船长完成5个任务,XX
$notification_a24_desc,,Complete 5 quests for Beenjamin at the Town Noticeboard,XX,Terminer 5 quêtes pour Hippolen au panneau d'affichage,Completa 5 missioni per Favino sulla bacheca cittadina.,Schließe 5 Aufgaben für Bienjamin am schwarzen Brett der Stadt ab,Completa cinco misiones para Abenjamín en el tablero de anuncios del pueblo.,Conclua 5 missões para Benjamel no Quadro de Avisos da Cidade,街の掲示板にある蜂ノ宮博士のクエストを5つクリアしよう,,,在镇公告板为本杰蜜完成5个任务,XX
$notification_a25_desc,,Complete 5 quests for the town at the Town Noticeboard,XX,Terminer 5 quêtes pour la ville au panneau d'affichage,Completa 5 missioni per la città sulla bacheca cittadina.,Schließe 5 Aufgaben für die Stadt am schwarzen Brett der Stadt ab,Completa cinco misiones para el pueblo en el tablero de anuncios.,Conclua 5 missões para a cidade no Quadro de Avisos da Cidade,掲示板にある街のクエストを5つクリアしよう,,,在镇公告板为城镇完成5个任务,XX
$notification_a26_desc,,Buy something from a stranger,XX,Acheter quelque chose à un inconnu,Compra qualcosa da un estraneo.,Kaufe etwas von einem Fremden,Cómprale algo a un desconocido.,Compre algo de um estranho,知らない人から何か買ってみよう,,,从陌生人处购买一些物品,XX
$notification_a27_desc,,Buy something for an extortionate amount from a stranger,XX,Acheter quelque chose pour un montant exorbitant à un inconnu,Compra qualcosa per un prezzo esorbitante da un estraneo.,Kaufe etwas extrem Teures von einem Fremden,Cómprale algo a un precio abusivo a un desconocido.,Compre algo extraordinariamente caro de um estranho,知らない人から高いものを買ってみよう,,,从陌生人处以高价购买一些物品,XX
$notification_a28_desc,,Play a music track on a Jukebox,XX,Jouer une piste musicale sur un jukebox,Riproduci una traccia musicale su un jukebox.,Spiele einen Musiktitel auf einer Jukebox ab,Pon música en una rocola.,Toque uma música na Caixa de Som,ジュークボックスで音楽を流そう,,,用音乐盒播放一段音乐,XX
$notification_a29_desc,,Collect all the music tracks,XX,Collectionner toutes les pistes musicales,Raccogli tutte le tracce musicali.,Sammle alle Musiktitel,Encuentra todas las pistas musicales.,Colete todas as trilhas sonoras,音楽トラックを全部集めよう,,,收集所有乐曲,XX
$notification_a30_desc,,Craft all 4 clockwork machines,XX,Fabriquer les 4 machines semi-automatiques,Crea tutte e 4 le macchine a ingranaggi.,Baue alle vier Uhrwerkmaschinen,Crea las cuatro máquinas con mecanismos.,Construa as quatro máquinas de engrenagem,ぜんまいじかけの機械を4つクラフトしよう,,,制造所有4种发条机器,XX
$notification_a31_desc,,Purchase all 3 honeycore machines,XX,Acheter les 3 machines automatiques,Acquista tutte e 3 le macchine per il Cristalmiele.,Kaufe alle drei Honigkern-Maschinen,Compra las tres máquinas de mielita.,Compre as três máquinas de cristamel,ハニーコアの機械を3つ購入しよう,,,购买所有3种蜜核机器,XX
$notification_a32_desc,,Discover your first flower species,XX,Découvrir ta première espèce de fleur,Scopri la tua prima specie floreale.,Entdecke deine erste Blumenart,Descubre tu primera especie de flor.,Descubra sua primeira espécie de flor,花を見つけよう,,,发现你的第一个花卉物种,XX
$notification_a33_desc,,Discover 5 different species of flower,XX,Découvrir 5 espèces de fleurs différentes,Scopri 5 diverse specie floreali.,Entdecke fünf Blumenarten,Descubre cinco especies diferentes de flores.,Descubra 5 espécies de flor diferentes,花を5種類見つけよう,,,发现5个不同的花卉物种,XX
$notification_a34_desc,,Discover all species of flower,XX,Découvrir toutes les espèces de fleurs différentes,Scopri tutte le specie floreali.,Entdecke alle Blumenarten,Descubre todas las especies de flores.,Descubra todas as espécies de flores,花を全種見つけよう,,,发现所有不同的花卉物种,XX
$notification_a35_desc,,Activate and use an a Hivemother Gate,XX,Activer et utiliser un portail de la Sainte-Reine,Attiva e usa un portale della Madre degli Alveari.,Aktiviere und nutze ein Bienenmutter-Tor,Activa y usa una puerta de la Madre de Colmenas.,Ative e use um Portão da Mãe das Colmeias,巣の主のゲートを開いて利用する,,,激活并使用一个巢母大门,XX
$notification_a36_desc,,"Grab a bee that you shouldn't touch, you rascal",XX,"Attraper une abeille que tu ne devrais pas toucher, petite canaille","Hai raccolto un ape che non avresti dovuto toccare, birbante.","Schnapp dir eine Biene, die du nicht anfassen solltest, du Schlingel","Recoge una abeja que no deberías tocar, sabandija.","Pegue uma abelha que não devia, seu danadinho",触れてはならないハチの捕獲、してみてよ,,,"抓一只你不该碰的蜜蜂, 你这无赖",XX
$notification_a37_desc,,Activate all Hivemother Gates and arrive at a new destination,XX,Activer tous les portails de la Sainte-Reine et arriver à une nouvelle destination,Attiva tutti i portali della Madre degli Alveari e arriva a una nuova destinazione.,Aktiviere alle Bienenmutter-Tore und erreiche einen neuen Ort,Activa todas las puertas de la Madre de Colmenas y llega a un nuevo lugar.,Ative todos os Portões da Mãe das Colmeias e chegue a um novo lugar,巣の主のゲートを全て開き、新しい土地へ出向く,,,激活所有巢母大门并抵达一个新目的地,XX
$notification_a38_desc,,Open the Hivemother's Door,XX,Ouvrir la porte de la Sainte-Reine,Apri la porta della Madre degli Alveari.,Öffne die Bienenmutter-Tür,Abre la puerta de la Madre de Colmenas.,Abre a Porta da Mãe das Colmeias,巣の主の扉を開く,,,打开巢母之门,XX
$notification_a39_title,,Can't See The Wood For The Trees,XX,L'arbre cache la forêt,Non riconoscere il legno dagli alberi,Den Wald vor lauter Bäumen nicht sehen,Los árboles que tapan el bosque,Tanta Árvore que não se vê Floresta,木を見て森を見ず,,,"只见树木, 不见森林",
$notification_a39_desc,,Plant so many darn trees,XX,Planter énormément d'arbres,Pianta una quantità enorme di alberi.,Pflanze echt unglaublich viele Bäume,Planta un montón de esos malditos árboles.,Plante uma cacetada de árvores,木をたくさん植えよう,,,种这么多见鬼的树,
,net puns here from catching em?,Gotta Catch'em All!,XX,L'effet papillon,Effetto farfalla,Schnapp sie dir alle!,¡Atrápalas ya!,Temos que pegar!,チョウ、ゲットだぜ！,,,,
,,Catch your first butterfly species,XX,Attraper une première espèce de papillon,Cattura la prima specie di farfalla,Fange deine erste Schmetterlingsart,Atrapa tu primera especie de mariposa.,Apanhe sua primeira espécie de borboleta,チョウ一種目を捕獲,,,,
,net puns here from catching em?,Butter Me Up,XX,On file doux,Farfalla nello stomaco,Zerschmettert,Se posa la mariposa,Tá na Cozinha,その「ちょう」し！,,,,
,,Catch half of all the butterfly species,XX,Attraper la moitié des espèces de papillons,Cattura la metà delle specie di farfalla,Fange die Hälfte aller Schmetterlingsarten,Atrapa la mitad de las especies de mariposas.,Apanhe metade das espécies de borboletas,半分の種のチョウを捕獲,,,,
,net puns here from catching em?,Nothing But Net,XX,Attrapez-les tous !,Solo rete!,Ins Netz gegangen,Red sin fondo,Caiu na Rede,チョウ、超見たい！,,,,
,,Catch all of the butterfly species,XX,Attraper toutes les espèces de papillons,Cattura tutte le specie di farfalla,Fange alle Schmetterlingsarten,Atrapa todas las especies de mariposas.,Apanhe todas as espécies de borboletas,チョウを全種捕獲,,,,
,butterfly lifecycle terms,Larva,XX,Larve,Larva,Larve,Larva,Larva,幼虫,,,,
,,Fully repopulate a butterfly species,XX,Réhabiliter une espèce de papillon,Ripopola completamente una specie di farfalla,Belebe eine Schmetterlingsart wieder,Recupera la población de una especie de mariposa.,repovoe completamente uma espécie de borboleta,チョウが一種復活,,,,
,butterfly lifecycle terms,Pupa,XX,Nymphe,Pupa,Kokon,Pupa,Pupa,さなぎ,,,,
,,Fully repopulate half of all the butterfly species,XX,Réhabiliter la moitié des espèces de papillons,Ripopola completamente metà delle specie di farfalla,Belebe die Hälfte aller Schmetterlingsarten wieder,Recupera la mitad de la población de especies de mariposas.,repovoe completamente metade das espécies de borboletas,半分の種のチョウが復活,,,,
,butterfly lifecycle terms,Imago,XX,Papillon,Imago,Imago,Imago,Imago,成虫,,,,
,,Fully repopulate all of the butterfly species,XX,Réhabiliter toutes les espèces de papillons,Ripopola completamente tutte le specie di farfalla,Belebe alle Schmetterlingsarten wieder,Recupera toda la población de especies de mariposas.,repovoe completamente todas as espécies de borboletas,チョウが全種復活,,,,
,hotel puns cos you use bee hotels?,Checking In,XX,Enregistrement,Check-In,Check-In,Check-in,Check In,チェックイン,,,,
,,Discover your first new solitary bee species,XX,Découvrir ta première nouvelle espèce d'abeille solitaire,Scopri la tua prima nuova specie di ape solitaria,Entdecke deine erste Solitär-Bienenart,Descubre tu primera especie de abeja solitaria.,Descubra sua primeira nova espécie de abelha solitária,孤独なハチ一種目を発見,,,,
,hotel puns cos you use bee hotels?,Room Service,XX,Room-service,Servizio in camera,Zimmerservice,Servicio a la habitación,Serviço de Quarto,ルームサービス,,,,
,,Discover half of all solitary bees species,XX,Découvrir la moitié des espèces d'abeilles solitaires,Scopri metà delle specie di ape solitaria,Entdecke die Hälfte aller Solitär-Bienenarten,Descubre la mitad de las especies de abejas solitarias.,Descubra metade das espécies de abelhas solitárias,半分の種の孤独なハチを発見,,,,
,hotel puns cos you use bee hotels?,Full Board,XX,Pension complète,Pensione completa,Hotel ausgelastet,Cartón lleno,Pensão Completa,食事つきステイ,,,,
,,Discover all the solitary bee species,XX,Découvrir toutes les espèces d'abeilles solitaires,Scopri tutte le specie di ape solitaria,Entdecke alle Solitär-Bienenarten,Descubre todas las especies de abejas solitarias.,Descubra todas as espécies de abelhas solitárias,孤独なハチを全種発見,,,,
,,Starting Anew,XX,Nouveau départ,Da zero,Neustart,Un nuevo comienzo,Começando do Zero,スターティング・オーバー,,,,
,,Fully repopulate a solitary bee species,XX,Réhabiliter une espèce d'abeille solitaire,Ripopola completamente una specie di ape solitaria,Belebe eine ganze Solitär-Bienenart wieder,Recupera la población de una especie de abeja solitaria.,repovoe completamente uma espécie de abelha solitária,孤独なハチが一種復活,,,,
,,A Second Chance,XX,Seconde chance,Seconda possibilità,Zweite Chance,Una segunda oportunidad,Segundas Chances,セカンド・チャンス,,,,
,,Fully repopulate half of all the solitary bee species,XX,Réhabiliter la moitié des espèces d'abeilles solitaires,Ripopola completamente metà delle specie di ape solitaria,Belebe die Hälfte aller Solitär-Bienenarten wieder,Recupera la mitad de la población de especies de abejas solitarias.,repovoe completamente metade das espécies de abelhas solitárias,孤独なハチの半分の種が復活,,,,
,,Begin Again,XX,Rebelote,Un nuovo inizio,Ein neuer Anfang,Volver a empezar,Recomeço,ビギン・アゲイン,,,,
