KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$flower1_desc,,"Known for its sweet scent, the Honeyrose is the most common flower in the Archipelago, and is renowned by Beekeepers for its marvellous calming effects on Apiaries when smoked.",XX,"Connue pour son doux parfum, la Rosamiel est la fleur la plus commune de l'archipel. Les apiculteurs l'apprécient pour son merveilleux effet relaxant sur les ruchers pendant l'enfumage.","Nota per la sua fragranza dolciastra, la rosamiele è il fiore più comune nell'arcipelago ed è nota agli apicoltori per i suoi meravigliosi effetti calmanti sugli apiari quando si usa un affumicatore.","Die für ihren süßen Duft bekannte Honigrose ist die am weitesten verbreitete Blume des Archipels und bei Imkern für ihre wunderbare beruhigende Wirkung auf Bienenstöcke bekannt, wenn sie geräuchert wird.","La rosamiel, conocida por su aroma dulce, es la flor más común del archipiélago. La comunidad apicultora la aprecia por sus maravillosos efectos tranquilizantes cuando se usa en un ahumador.","Conhecida por seu aroma doce, a Rosa-de-mel é a flor mais comum do Arquipélago, e é celebrada pelos Apicultores por seus maravilhosos efeitos calmantes ao serem fumigadas em Apiários.",甘い香りで知られていて、諸島では一番よく見かける花。燻製するとハチを落ち着かせるすばらしい効果があると、養蜂家の間でひとたび有名になった。,,,"蜜玫瑰因甜美的香味而闻名, 是群岛上最常见的花. 将其烟熏时对养蜂场有奇妙的镇静作用, 因此为养蜂人所熟知.",XX
$flower1_effect,,This flower has no special effect.,XX,Cette fleur n'a aucun effet spécial.,Questo fiore non ha nessun effetto speciale.,Diese Blume hat keine besondere Wirkung.,Esta flor no tiene ningún efecto especial.,Essa flor não tem efeitos especiais.,特殊な効果はない。,,,此花无特别效果.,
$flower2_species,,Swarmwort,XX,Lotussaim,Mostosciame,Schwarmkraut,Loto enjambre,Lótus-do-enxame,ブルーロータス,,,蜂草,XX
$flower2_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Clavus Turba,XX,Clavus Turba,Calvus Turba,Clavus Turba,Clavus Turba,Clavus Turba,Clavus Turba,,,Clavus Turba,XX
$flower2_hint,"Found commonly in game in the forest, grows in water",A blue lotus-type flower that grows in shallow waters.,XX,Une fleur bleue de type lotus qui pousse dans les eaux peu profondes.,Un fiore blu simile al loto che cresce in acque poco profonde.,"Eine blaue lotusartige Blume, die in seichten Gewässern wächst.",Una flor azul de la familia del loto que crece en aguas poco profundas.,Uma espécie de lótus azulada que crescer em águas rasas.,水辺の浅瀬に咲く青いハス科の花。,,,生长在潜水中的蓝色莲类花卉.,XX
$flower2_desc,,This delightful aquatic lotus-like flower thrives in the shallow areas around land. The blue dye produced by processing Swarmwort is one of the most popular dyes used in fashion.,XX,Cette ravissante fleur aquatique aux allures de lotus se développe dans les eaux peu profondes près des terres. Le colorant bleu produit à partir du Lotussaim est très populaires dans le milieu de la mode.,Questo delizioso fiore acquatico simile al loto prospera nelle acque basse intorno alla terraferma. Il colore blu prodotto dal mostosciame trattato è una delle tinture più popolari nell'industria della moda.,"Diese bezaubernde lotusähnliche Wasserblume gedeiht in den flachen Gebieten rund um das Land. Der blaue Farbstoff, der bei der Verarbeitung des Schwarmkrauts entsteht, ist einer der beliebtesten Farbstoffe in der Modebranche.",Esta preciosa flor azul crece en aguas superficiales cerca de la tierra. El loto enjambre se puede procesar para producir un tinte azul muy popular en la industria de la moda.,Esse belíssimo lótus aquático prospera em águas rasas perto da terra. A tintura azul produzida ao processar Lótus-do-enxame é uma das tinturas mais populares da moda.,ハスのような美しい花で、沿岸の浅瀬に生息する。ブルーロータスで作る青色の染料は洋服を作る際一番よくつかわれる。,,,这种类似莲花的可爱水生花卉生长在陆地周围的浅水区域中. 通过处理蜂草得到的蓝色染料是最流行的时尚染料之一.,XX
$flower2_effect,,This flower has no special effect.,XX,Cette fleur n'a aucun effet spécial.,Questo fiore non ha effetti speciali.,Diese Blume hat keine besondere Wirkung.,Esta flor no tiene ningún efecto especial.,Essa flor não tem efeitos especiais.,特殊な効果はない。,,,此花无特别效果.,
$flower3_species,,Beekeeper's Delight,XX,Tournabelle,Delizia dell'apicoltore,Imkerfreude,Sueño de apicultor,Encanto-do-apicultor,養蜂家のよろこび,,,蜂人喜,XX
$flower3_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Jucundum Apiara,XX,Jucundum Apiara,Jucundum Apiara,Jucundum Apiara,Jucundum Apiara,Jucundum Apiara,Jucundum Apiara,,,Jucundum Apiara,XX
$flower3_hint,Found commonly in game in the forest,A bright yellow sunflower that grows in bright temperate areas.,XX,Un tournesol jaune vif qui pousse dans les zones tempérées lumineuses.,Un girasole dal colore giallo intenso che cresce nelle aree temperate.,"Eine leuchtend gelbe Sonnenblume, die in hellen, gemäßigten Gebieten wächst.",Un girasol de un amarillo brillante que resplandece en zonas con climas templados.,Um girassol amarelo e brilhante que cresce em áreas temperadas e bem iluminadas.,気温が高い場所で生息する明るい黄色のひまわり。,,,"一种亮黄色的向日葵, 生长在明亮温和的区域.",XX
$flower3_desc,,"When the sun shines bright, Beekeeper's Delight shines almost as brightly back! Only found in temperate climates it's seen as a symbol of good luck and a blessing from the Hivemother herself.",XX,"Quand le soleil brille, la Tournabelle le lui rend bien ! Elle ne pousse que dans les climats tempérés. Elle est considérée comme un porte-bonheur et une bénédiction de la Sainte-Reine elle-même.","Quando il sole splende, la Delizia dell'Apicoltore sembra quasi voler rispondere con la stessa intensità! Questo fiore si trova solo nelle zone temperate e viene visto come simbolo di buon auspicio e di benedizione della Madre degli Alveari in persona.","Wenn die Sonne hell scheint, strahlt die Imkerfreude fast genauso hell zurück! Sie kommt nur in gemäßigten Klimazonen vor und gilt als Glückssymbol und als Segen der Bienenmutter persönlich.","Cuando el sol brilla con fuerza, ¡la flor de sueño de apicultor le responde con la misma intensidad! Esta planta, que solo se encuentra en climas templados, se considera un símbolo de buena suerte y una bendición de la mismísima Madre de la Colmena.","Quando o Sol brilha, o Encanto-do-apicultor responde com um brilho tão forte quanto! Apenas encontrado em climas temperados e conhecido como um símbolo de sorte e benção da Mãe das Colmeias.",太陽がキラキラと輝くとき、養蜂家のよろこびも負けじと輝いている！温かい気候でのみ見られ、巣の主自身の幸運と恵みの象徴とされている。,,,"阳光明媚的时候, 蜂人喜会映出几乎同样明亮的光芒! 只在温和气候中生长, 人们认为这种花是好运的象征, 是巢母亲自赐予的祝福.",XX
$flower3_effect,,This flower has no special effect.,XX,Cette fleur n'a aucun effet spécial.,Questo fiore non ha effetti speciali.,Diese Blume hat keine besondere Wirkung.,Esta flor no tiene ningún efecto especial.,Essa flor não tem efeitos especiais.,特殊な効果はない。,,,此花无特别效果.,
$flower4_species,,Honeybriar,XX,Sapicole,Mielespina,Honigbeere,Mielespina,Azamélia,ハニーブライアー,,,蜜蔷薇,XX
$flower4_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Sentis Mela,XX,Sentis Mela,Sentis Mela,Sentis Mela,Sentis Mela,Sentis Mela,Sentis Mela,,,Sentis Mela,XX
$flower4_hint,A crossbreed of Flower1 + Flower2 that increases the productivity trait of bees working nearby,A common hybrid of Apiara and Turba that all budding Florist's start out with!,XX,Hybride commun de l'Apiara et de la Turba par laquelle commencent tous les fleuristes en herbe !,Un comune ibrido di Hydromela e Turba con cui iniziano tutti i fioristi in erba!,"Eine gewöhnliche Kreuzung aus Apiara und Turba, mit der alle angehenden Floristen beginnen!",Una cruza común entre Hydromela y Turba: ¡los inicios de todo florista!,Uma híbrida comum da Hydromela e Turba que todos os Floricultores iniciantes começam!,よく見かけるブルーロータスと養蜂家のよろこびのハイブリッド種。ビギナーはまずこれを育てよう！,,,"蜂人喜和蜂草常见的杂交种, 所有新手花匠的练手作品!",XX
$flower4_desc,,"One of the most common cross-bred flowers, the Honeybriar releases a scent that energises and excites nearby bees, increasing the overall productivity of the hive.",XX,"La Sapicole, l'une des fleurs croisées les plus courantes, dégage un parfum qui revigore et stimule les abeilles à proximité, augmentant ainsi la productivité globale de la ruche.","Il mielespina, uno dei fiori di razza incrociata più comune, rilascia una fragranza che rivitalizza ed eccita le api nei paraggi, aumentando la produttività complessiva dell'alveare.","Die Honigbeere ist eine der am häufigsten gekreuzten Blumen und verströmt einen Duft, der die Bienen in der Nähe anregt und die Gesamtproduktivität des Bienenstocks erhöht.","La mielespina es una de las cruzas de flores más comunes. Libera un aroma que vitaliza y da energía a las abejas cercanas, lo que aumenta la productividad de la colmena.","Uma das flores híbridas mais comuns, a Azamélia solta um aroma que energiza e empolga as abelhas próximas, aumentando a produção geral da colmeia.",交配してできる花で一番よく見かける種。ハニーブライアーの香りは近くにいるハチを元気にさせ興奮させるため、巣にいるハチの生産性が上がる。,,,"蜜蔷薇是最常见的杂交花卉之一, 其释放的气味能让附近的蜜蜂兴奋且充满活力, 增加蜂群的总体生产力.",XX
$flower4_effect,,"This flower increases the productivity of bees, increasing the amount of produce gained.",XX,"Cette fleur stimule la productivité des abeilles, ce qui accroît le volume de la récolte.","Questo fiore migliora la produttività delle api, aumentando la quantità di prodotto.",Diese Blume steigert die Produktivität der Bienen und erhöht die Menge der gewonnenen Produkte.,"Esta flor aumenta la productividad de las abejas, lo que da como resultado una mayor cantidad de productos.","Essa flor aumenta a produtividade das abelhas, aumentando o número de produtos adquiridos.",ハチの生産性を上げることができ、たくさんの生産物が手に入る。,,,"这种花能增加蜜蜂的生产力, 从而增加产量.",
$flower5_species,,Goldenrod,XX,Pollenaire royale,Steldorato,Goldrute,Varadorada,Caule-dourado,アキノキリンソウ,,,秋麒麟花,XX
$flower5_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Virga Flava,XX,Virga Flava,Virga Flava,Virga Flava,Virga Flava,Virga Flava,Virga Flava,,,Virga Flava,XX
$flower5_hint,A crossbreed of Flower1 + Flower3 that increases the lifespan trait of bees working nearby,A golden orange flower that can be cross-bred from Hydromela and Apiara.,XX,"Une fleur orange doré, issue d'un croisement entre Hydromela et Apiara.",Un fiore color arancio che può essere ottenuto incrociando Hydromela e Apiara.,"Eine goldorangefarbene Blume, die aus Hydromela und Apiara gekreuzt werden kann.",Una flor naranja dorada que se puede conseguir cruzando Hydromela con Apiara.,Uma flor de cor alaranjada dourada que surge da mistura de Hydromela e Apiara.,黄色とオレンジがまざったような色のこの花はハニーローズと養蜂家のよろこびを交配させると生産できる。,,,"金橙色的花, 可由蜜玫瑰与蜂人喜杂交获得.",XX
$flower5_desc,,"A magnificent hybrid flower, the Goldenrod is said to bring good fortune to those near. Favoured by the more 'royal' bee families, the pollen from this flower increases the lifespan of bees.",XX,"Magnifique fleur hybride, la Pollenaire royale est réputée porter bonheur à ceux qui l'approchent. Prisée par les familles d'abeilles les plus « royales », le pollen de cette fleur augmente la durée de vie des abeilles.","Si dice che lo Steldorato, un magnifico fiore ibrido, porti fortuna a chi si trova nelle sue vicinanze. Prediletto dalle famiglie di api più 'reali', il polline di questo fiore aumenta la speranza di vita delle api.","Die Goldrute ist eine prächtige Hybridblume, der man nachsagt, dass sie den Menschen in ihrer Nähe Glück bringt. Der Pollen dieser Blume wird von den 'königlichen' Bienenfamilien bevorzugt und erhöht die Lebenserwartung der Bienen.","La varadorada es una flor híbrida magnífica. Se dice que trae fortuna a quienes la rodean. El polen de esta flor aumenta la longevidad de las abejas, y es la favorita de las familias de abejas 'reales'.","Uma magnífica flor híbrida, diz-se que Caules-dourados trazem sorte a quem está próximo. Adorada pelas famílias 'reais' de abelha, o pólen dessa flor aumenta o tempo de vida de abelhas.",華麗な美しさをもつハイブリッド種、アキノキリンソウは幸運をもたらすと言われている。「皇族」系統のハチから好まれ、この花の花粉はハチの寿命を延ばす。,,,"秋麒麟花是一种美丽的杂交花卉, 据说能给周围带来好运. 这种花备受'皇家'蜜蜂族群的欢迎, 其花粉能延长蜜蜂的寿命.",XX
$flower5_effect,,"This flower increases the lifespan of bees, increasing the life of Queens.",XX,Cette fleur augmente la durée de vie des abeilles.,"Questo fiore fa aumentare la longevità delle api, aumentando la vita delle regine.",Diese Blume erhöht die Lebenserwartung der Bienen und verlängert die Lebensdauer der Königinnen.,"Esta flor aumenta la longevidad de las abejas, lo que alarga la vida de las reinas.","Essa flor aumenta o tempo de vida das abelhas, aumentando a vida das Rainhas.",ミツバチの寿命を延ばし、女王バチの寿命も延ばす。,,,"此花能延长蜜蜂的寿命, 延长蜂后的寿命.",
$flower6_species,,Beesknees,XX,Nénumiel,Agape d'ape,Wasserbielie,Ala de abeja,Mel-na-chupeta,ビーズニーズ,,,蜂膝花,XX
$flower6_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Genu Apisa,XX,Aqua Apisa,Genu Apisa,Genu Apisa,Genu Apisa,Genu Apisa,Genu Apisa,,,Genu Apisa,XX
$flower6_hint,A crossbreed of Flower2 + Flower1 that grows in water and increases the fertility trait of bees working nearby,"This deep purple hybrid flower is aquatic, thanks to its mix of Turba and Hydromela species traits.",XX,Cette fleur hybride d'un violet profond est aquatique grâce à son mélange de caractères des espèces Turba et Hydromela.,"Quest'ibrido viola scuro è un fiore acquatico, grazie al suo mix di caratteristiche tratte da Turba e Hydromela.",Diese tiefviolette Hybridblume lebt dank ihrer Mischung aus Turba- und Hydromela-Arten im Wasser.,"Gracias a la mezcla de rasgos de Turba e Hydromela, esta flor híbrida púrpura crece en hábitats acuáticos.","Essa flor híbrida roxo-escura é aquática, graças a uma mistura de características da Turba e Hydromela.",深い紫色のハイブリッド種。ブルーロータスとハニーローズの系統をひいていて、水辺に生息する。,,,"因为混合了蜂草和蜜玫瑰的特质, 所以这种深紫色的杂交花卉是水生的.",XX
$flower6_desc,,"With its deep purple hue, Beesknees certainly stands out in the crowd. Its scent affects queen bees, making them produce more offspring than they would normally.",XX,"Avec sa teinte violette intense, le Nénumiel se fait facilement remarquer. Son odeur a un effet sur les reines d'abeilles, les incitant à engendrer une plus abondante progéniture.","Il colore viola scuro fa certamente risaltare l'agape d'ape rispetto agli altri fiori. Il suo profumo condiziona le api regine, facendo produrre loro una prole molto maggiore del normale.","Mit ihrer tiefvioletten Farbe sticht Wasserbielie sicherlich aus der Masse heraus. Ihr Duft wirkt sich auf Bienenköniginnen aus, so dass sie mehr Nachkommen produzieren als normalerweise.","Con su color púrpura oscuro, la flor de ala de abeja resalta entre el montón. Su aroma afecta a las abejas reinas y provoca que produzcan más crías de lo normal.","Com seu tom roxo profundo, Mel-na-chupeta realmente chama a atenção. Seu aroma afeta as rainhas, fazendo que gerem mais prole que o normal.",深い紫色をしていることからビーズニーズはどこでも目立つ。香りは女王バチに対して効果があり、通常より多く子孫をはん栄させる。,,,"蜂膝花那深紫的色调使其在一众花卉中脱颖而出. 它的气味能对蜂后产生影响, 使其比正常情况下产出更多后代.",XX
$flower6_effect,,"This flower increases the fertility of bees, increasing the amount of offspring.",XX,"Cette fleur stimule la fertilité des abeilles, ce qui accroît le nombre de progénitures.","Questo fiore aumenta la fertilità delle api, aumentando la quantità di prole prodotta.",Diese Blume steigert die Fruchtbarkeit der Bienen und erhöht die Anzahl der Nachkommen.,"Esta flor aumenta la fertilidad de las abejas, por lo que producen más crías.","Essa flor aumenta a fertilidade das abelhas, aumentando o número de prole.",ハチの生産効率を上げ、子バチの数を増やす。,,,"这种花能增加蜜蜂的繁殖力, 从而增加后代的数量.",
$flower7_species,,Hivesbane,XX,Aconit des ruches,Flagello degli alveari,Bienenstock-Kraut,Colmenólito,Perdição-das-colmeias,ポイズンローズ,,,巢祸花,XX
$flower7_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Pestia Alva,XX,Pestia Alva,Pestia Alvia,Pestia Alva,Pestia Alva,Pestia Alva,Pestia Alva,,,Pestia Alva,XX
$flower7_hint,"A black rose found commonly in the swamps, it decreases the stability trait of bees working nearby (meaning more chance for mutation - which is a good thing as it leads to new species)","A dark rose-like flower, found naturally in the dense swamps.",XX,"Une fleur semblable à une rose noire, que l'on trouve naturellement dans les marais profonds.","Un fiore scuro simile alla rosa, che si trova normalmente tra le paludi più dense.","Eine dunkle, rosenähnliche Blume, die in der Natur in tiefen Sümpfen vorkommt.",Una flor similar a la rosa de color oscuro que se encuentra en los pantanos más densos.,"Uma flor que se parece uma rosa escura, encontrada naturalmente em pântanos densos.",暗い色のバラのような花。濃い沼地に生息する。,,,"暗色的玫瑰类花卉, 自然生长在植物茂密的沼泽中.",XX
$flower7_desc,,"Found commonly in the swamps, Hivesbane has prickly black rose-like appearance. The sharp petals can lead to some distress in bees, causing them to act unpredictable.",XX,"Répandue dans les marais, l'Aconit des ruches a l'apparence d'une rose noire épineuse. Les pétales pointus peuvent provoquer des troubles chez les abeilles et les rendre imprévisibles.","Il flagello degli alveari, molto comune nelle paludi, ha l'aspetto di una rosa spinata nera. I suoi petali affilati possono causare delle difficoltà alle api che inizieranno ad agire in modo imprevedibile.","Das in den Sümpfen weit verbreitete Bienenstock-Kraut hat ein stacheliges, schwarzes, rosenartiges Aussehen. Die scharfen Blütenblätter können bei Bienen zu einer gewissen Beunruhigung führen, sodass sie sich unberechenbar verhalten.","La flor de colmenólito se parece a una rosa negra con espinas y se encuentra comúnmente en pantanos. Sus pétalos afilados pueden causar molestias a las abejas, lo que las hace actuar de forma impredecible.","Comumente encontrada em pântanos, a Perdição-das-colmeias se parece com uma rosa preta e espinhenta. Suas pétalas afiadas estressam as abelhas, fazendo com que ajam de maneira imprevisível.",沼地で見かけられ、トゲのあるバラに似た見た目をしている。鋭利な花びらにハチは驚くことがあり、その際ハチは予想外のふるまいをする。,,,"巢祸花常见于沼泽之中, 外表像是多刺的黑玫瑰. 它尖锐的花瓣会给蜜蜂带来苦恼, 使其做出一些无法预测的行为.",XX
$flower7_effect,,"This flower decreases the stability of bees, increasing the chance of mutation.",XX,"Cette fleur diminue la stabilité des abeilles, ce qui accroît les chances de mutation.","Questo fiore diminuisce la stabilità delle api, aumentando la possibilità di mutazioni.",Diese Blume vermindert die Stabilität der Bienen und erhöht die Wahrscheinlichkeit von Mutationen.,"Esta flor disminuye la estabilidad de las abejas, lo que aumenta la probabilidad de mutaciones.","Essa flor diminui a estabilidade das abelhas, aumentando a chance de mutação.",ハチの安定性を低下させ、変異の可能性を向上させる。,,,"这种花能降低蜜蜂的稳定性, 增加变异的几率.",
$flower8_species,,Pondshine,XX,Éclat d'étang,Splendor d'acqua,Teichlicht,Estánquea,Brilho-do-lago,ポンドシャイン,,,池光花,XX
$flower8_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Lux Lacuna,XX,Lux Lacuna,Lux Lacuna,Lux Lacuna,Lux Lacuna,Lux Lacuna,Lux Lacuna,,,Lux Lacuna,XX
